학정번호,과목명,분반,이수,학점,시수,교수,요일,시간,요일,시간,비고
Z3B4D3,동아시아문학과사회,,교선,3,3,정소영,화,4,목,3,
Z3E3E4,미국의과거와현재,,교선,3,3,김민수,금,3,금,4,
Z3A5C6,미디어로읽는영어의역사,,교선,3,3,노진서,월,5,수,6,
Z3C1C2,세계도시문명사,,교선,3,3,차승현,수,1,수,2,
Z3B5B6,세계문화의이해,,교선,3,3,장수현,화,5,화,6,
Z3D5D6,인문교양심화세미나,2~4학년_수강과목,교선,3,3,김희교,목,5,목,6,세미나강의.소규모강의
Z3E1E2,인물로본한국사,,교선,3,3,윤성재,금,1,금,2,
Z3E3E4,인물로본한국사,외국인만_수강가능,교선,3,3,윤성재,금,3,금,4,외국인전용
Z3B5B6,자아의이해와문학치료,,교선,3,3,도기숙,화,5,화,6,소규모강의
Z3A3C4,한국근현대사,,교선,3,3,김백영,월,3,수,4,
Z3A1A2,한국근현대사,,교선,3,3,김정권,월,1,월,2,
Z3E3E4,뉴미디어와이미지의활용,,교선,3,3,여금미,금,3,금,4,
Z3E1E2,르네상스문화와과학,,교선,3,3,차승현,금,1,금,2,
Z3B3D4,문예작품으로읽는서양문명사,,교선,3,3,노진서,화,3,목,4,
Z3C5C6,자본주의역사,,교선,3,3,김민수,수,5,수,6,
Z3A2C1,한국과학기술문명사,,교선,3,3,김인호,월,2,수,1,
Z3A5A6,현대사상의이해,,교선,3,3,도승연,월,5,월,6,
Z3E5E6,경제와경영,,교선,3,3,송영출,금,5,금,6,
Z3C3E4,글로벌시대의쟁점과현안,,교선,3,3,전진호,수,3,금,4,
Z3E3E4,글로벌시대의쟁점과현안,,교선,3,3,남정호,금,3,금,4,
Z3B5B6,기술경영과마케팅,,교선,3,3,김찬모,화,5,화,6,
Z3D5D6,기술경영과마케팅,,교선,3,3,김찬모,목,5,목,6,
Z3E1E2,법과생활,,교선,3,3,손명지,금,1,금,2,
Z3D3D4,사회과학교양세미나,1학년만_수강가능,교선,3,3,하마처,목,3,목,4,영어100.세미나강의
Z3B1B2,사회과학교양세미나,1학년만_수강가능,교선,3,3,김일식,화,1,화,2,세미나강의.소규모강의
Z1F1F2,사회봉사1,,교선,1,2,손주영,토,1,토,2,
Z3D3D4,사회학의이해,,교선,3,3,김일환,목,3,목,4,
Z3A3C4,사회학의이해,,교선,3,3,박찬종,월,3,수,4,
Z3A1C2,생활속의경제,,교선,3,3,김일식,월,1,수,2,
Z3C5C6,생활속의경제,,교선,3,3,이수욱,수,5,수,6,
Z3A5A6,생활속의회계와세무,,교선,3,3,이수욱,월,5,월,6,
Z3B3B4,성과심리학,,교선,3,3,이정은,화,3,화,4,
Z3B5B6,성과심리학,,교선,3,3,이정은,화,5,화,6,
Z3A2C1,세계경제의이해,,교선,3,3,김일식,월,2,수,1,
Z3E1E2,인간심리의이해,,교선,3,3,김기년,금,1,금,2,
Z3E5E6,정치와현대사회,,교선,3,3,기유정,금,5,금,6,
Z3E1E2,정치와현대사회,,교선,3,3,홍지영,금,1,금,2,
Z3C3C4,한국사회의이해,외국인만_수강가능,교선,3,3,박수경,수,3,수,4,외국인전용
Z3C5C6,한국사회의이해,외국인만_수강가능,교선,3,3,박수경,수,5,수,6,외국인전용
Z3B1B2,21세기동아시아사회의이해,,교선,3,3,공준환,화,1,화,2,
Z3B3B4,21세기동아시아사회의이해,,교선,3,3,공준환,화,3,화,4,
Z3A5A6,국가와행정,,교선,3,3,최영훈,월,5,월,6,
Z3A1A2,국가와행정,,교선,3,3,서승현,월,1,월,2,
Z3E1A2,기업과경영,,교선,3,3,조규진,금,1,월,2,
Z3B5D6,미디어활용과생활,,교선,3,3,레이몬드,화,5,목,6,영어100
Z3B6D5,미디어활용과생활,,교선,3,3,레이몬드,화,6,목,5,영어100
Z3B5B6,범죄와사회,,교선,3,3,이종화,화,5,화,6,
Z3E3E4,법과경제,,교선,3,3,손명지,금,3,금,4,
Z3A3C4,법과권리,,교선,3,3,한재경,월,3,수,4,
Z3E1E2,법논리학,,교선,3,3,이춘원,금,1,금,2,
Z3A3C4,조직과리더쉽,,교선,3,3,손주영,월,3,수,4,
Z3A4C3,조직과리더쉽,,교선,3,3,손주영,월,4,수,3,
Z2,진로탐색,,교선,2,2,김정권,,,,,온라인100
Z3B6D5,탈성장시대의사회와경제,,교선,3,3,박찬종,화,6,목,5,
Z3A4C3,현대한국사회의문제와해법,,교선,3,3,박찬종,월,4,수,3,
Z3D5D6,경제신문읽기,,교선,3,3,이은정,목,5,목,6,
Z3E5E6,경제신문읽기,,교선,3,3,이은정,금,5,금,6,
Z3B7B8B9,여성과남성,,교선,3,3,도기숙,화,7.8.9,,,온라인70
Z2D3D4,취업전략,,교선,2,2,김정권,목,3,목,4,
Z2D5D6,취업전략,,교선,2,2,김정권,목,5,목,6,
Z3B3D4,독일어1,,교선,3,3,조규희,화,3,목,4,
Z3B4D3,독일어1,,교선,3,3,조규희,화,4,목,3,
Z3A3C4,스페인어1,,교선,3,3,남영우,월,3,수,4,
Z3B3D4,스페인어1,,교선,3,3,남영우,화,3,목,4,
Z3B3B4,일본문화읽기,,교선,3,3,유양근,화,3,화,4,
Z3B5D6,일본문화읽기,,교선,3,3,권혁인,화,5,목,6,
Z3B1D2,일본어듣기와쓰기,,교선,3,3,권혁인,화,1,목,2,
Z3B6D5,일본어듣기와쓰기,,교선,3,3,권혁인,화,6,목,5,
Z3A6C5,중국어듣기와쓰기,,교선,3,3,이명숙,월,6,수,5,중국어40
Z3A3C4,초급일본어1,,교선,3,3,이승영,월,3,수,4,일본어50
Z3A1C2,초급일본어1,,교선,3,3,다와라기하루미,월,1,수,2,일본어50
Z3A2C1,초급일본어1,,교선,3,3,다와라기하루미,월,2,수,1,일본어50
